,name,x,y,radius
0,n0,645,134,16
1,n1,253,199,17
2,n2,620,78,16
3,n3,405,179,17
4,n4,236,100,16
5,n5,385,251,16
6,n6,434,314,16
7,n7,551,50,17
8,n8,50,217,16
9,n9,475,181,17
10,n10,581,369,17
11,n11,650,247,16
12,n12,85,360,16
13,n13,483,230,17
14,n14,57,289,16
15,n15,516,372,16
16,n16,476,57,16
17,n17,74,70,16
18,n18,646,197,16
19,n19,219,149,16
20,n20,268,64,10
21,n21,269,324,16
22,n22,315,254,16
23,n23,396,116,16
24,n24,437,377,16
25,n25,573,205,16
26,n26,218,260,10
27,n27,167,374,16
28,n28,338,318,16
29,n29,644,300,11
30,n30,631,344,10
31,n31,298,126,17
32,n32,329,181,11
33,n33,187,208,10
34,n34,557,265,10
35,n35,367,64,10
36,n36,56,135,16
37,n37,512,300,16
38,n38,388,355,11
39,n39,129,144,10
40,n40,436,248,11
41,n41,563,131,10
42,n42,483,114,10
43,n43,128,274,11
44,n44,175,317,10
45,n45,112,213,10
46,n46,586,314,10
47,n47,173,69,11
48,n48,330,379,16
