,name,x,y,radius
0,n0,650,69,16
1,n1,362,323,16
2,n2,279,141,16
3,n3,386,382,16
4,n4,587,61,16
5,n5,633,300,16
6,n6,344,72,16
7,n7,147,237,16
8,n8,336,369,16
9,n9,141,66,16
10,n10,524,80,16
11,n11,235,118,16
12,n12,285,82,16
13,n13,538,369,16
14,n14,580,329,16
15,n15,361,201,16
16,n16,587,122,16
17,n17,473,50,16
18,n18,151,172,16
19,n19,403,157,16
20,n20,626,368,16
21,n21,234,63,16
22,n22,139,109,16
23,n23,421,63,10
24,n24,75,330,11
25,n25,343,236,11
26,n26,462,167,11
27,n27,633,228,11
28,n28,230,171,10
29,n29,465,232,16
30,n30,201,212,11
31,n31,310,295,11
32,n32,204,368,10
33,n33,513,260,11
34,n34,58,183,10
35,n35,90,119,10
36,n36,64,63,11
37,n37,228,296,10
38,n38,442,293,10
39,n39,69,251,10
40,n40,108,284,16
41,n41,413,208,13
42,n42,155,312,11
43,n43,245,244,11
44,n44,470,371,11
45,n45,181,134,10
46,n46,647,145,10
47,n47,576,267,10
48,n48,148,359,10
49,n49,412,343,10
50,n50,337,164,11
51,n51,448,108,10
52,n52,50,371,11
53,n53,280,200,11
54,n54,387,269,11
55,n55,511,316,10
56,n56,280,382,10
57,n57,185,271,10
58,n58,264,343,10
59,n59,524,198,10
60,n60,525,130,10
61,n61,576,188,10
62,n62,96,376,10
63,n63,106,198,10
64,n64,354,116,10
65,n65,586,378,12
