1x1 , 1x1, 1
1x1 , 1x2, 2
1x1 , 1x3, 3
1x1 , 1x4, 4
1x1 , 2x1, 2
1x1 , 2x2, 4
1x1 , 2x3, 6
1x1 , 2x4, 8
1x1 , 3x1, 3
1x1 , 3x2, 6
1x1 , 3x3, 9
1x1 , 3x4, 12
1x1 , 4x1, 4
1x1 , 4x2, 8
1x1 , 4x3, 12
1x1 , 4x4, 16
1x2 , 1x1, 2
1x2 , 1x2, 1
1x2 , 1x3, 2
1x2 , 1x4, 3
1x2 , 2x1, 4
1x2 , 2x2, 2
1x2 , 2x3, 4
1x2 , 2x4, 6
1x2 , 3x1, 6
1x2 , 3x2, 3
1x2 , 3x3, 6
1x2 , 3x4, 9
1x2 , 4x1, 8
1x2 , 4x2, 4
1x2 , 4x3, 8
1x2 , 4x4, 12
1x3 , 1x1, 3
1x3 , 1x2, 2
1x3 , 1x3, 1
1x3 , 1x4, 2
1x3 , 2x1, 6
1x3 , 2x2, 4
1x3 , 2x3, 2
1x3 , 2x4, 4
1x3 , 3x1, 9
1x3 , 3x2, 6
1x3 , 3x3, 3
1x3 , 3x4, 6
1x3 , 4x1, 12
1x3 , 4x2, 8
1x3 , 4x3, 4
1x3 , 4x4, 8
1x4 , 1x1, 4
1x4 , 1x2, 3
1x4 , 1x3, 2
1x4 , 1x4, 1
1x4 , 2x1, 8
1x4 , 2x2, 6
1x4 , 2x3, 4
1x4 , 2x4, 2
1x4 , 3x1, 12
1x4 , 3x2, 9
1x4 , 3x3, 6
1x4 , 3x4, 3
1x4 , 4x1, 16
1x4 , 4x2, 12
1x4 , 4x3, 8
1x4 , 4x4, 4
2x1 , 1x1, 2
2x1 , 1x2, 4
2x1 , 1x3, 6
2x1 , 1x4, 8
2x1 , 2x1, 1
2x1 , 2x2, 2
2x1 , 2x3, 3
2x1 , 2x4, 4
2x1 , 3x1, 2
2x1 , 3x2, 4
2x1 , 3x3, 6
2x1 , 3x4, 8
2x1 , 4x1, 3
2x1 , 4x2, 6
2x1 , 4x3, 9
2x1 , 4x4, 12
2x2 , 1x1, 4
2x2 , 1x2, 2
2x2 , 1x3, 4
2x2 , 1x4, 6
2x2 , 2x1, 2
2x2 , 2x2, 1
2x2 , 2x3, 2
2x2 , 2x4, 3
2x2 , 3x1, 4
2x2 , 3x2, 2
2x2 , 3x3, 4
2x2 , 3x4, 6
2x2 , 4x1, 6
2x2 , 4x2, 3
2x2 , 4x3, 6
2x2 , 4x4, 9
2x3 , 1x1, 6
2x3 , 1x2, 4
2x3 , 1x3, 2
2x3 , 1x4, 4
2x3 , 2x1, 3
2x3 , 2x2, 2
2x3 , 2x3, 1
2x3 , 2x4, 2
2x3 , 3x1, 6
2x3 , 3x2, 4
2x3 , 3x3, 2
2x3 , 3x4, 4
2x3 , 4x1, 9
2x3 , 4x2, 6
2x3 , 4x3, 3
2x3 , 4x4, 6
2x4 , 1x1, 8
2x4 , 1x2, 6
2x4 , 1x3, 4
2x4 , 1x4, 2
2x4 , 2x1, 4
2x4 , 2x2, 3
2x4 , 2x3, 2
2x4 , 2x4, 1
2x4 , 3x1, 8
2x4 , 3x2, 6
2x4 , 3x3, 4
2x4 , 3x4, 2
2x4 , 4x1, 12
2x4 , 4x2, 9
2x4 , 4x3, 6
2x4 , 4x4, 3
3x1 , 1x1, 3
3x1 , 1x2, 6
3x1 , 1x3, 9
3x1 , 1x4, 12
3x1 , 2x1, 2
3x1 , 2x2, 4
3x1 , 2x3, 6
3x1 , 2x4, 8
3x1 , 3x1, 1
3x1 , 3x2, 2
3x1 , 3x3, 3
3x1 , 3x4, 4
3x1 , 4x1, 2
3x1 , 4x2, 4
3x1 , 4x3, 6
3x1 , 4x4, 8
3x2 , 1x1, 6
3x2 , 1x2, 3
3x2 , 1x3, 6
3x2 , 1x4, 9
3x2 , 2x1, 4
3x2 , 2x2, 2
3x2 , 2x3, 4
3x2 , 2x4, 6
3x2 , 3x1, 2
3x2 , 3x2, 1
3x2 , 3x3, 2
